Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
mMyoYum1.0.hap1	GCA_028538775.1	GCF_028538775.1	Myotis yumanensis					MYYU_CA2020_CCGP	male		Scaffold	2023-02-10	JAPQVT01	475
mMyoYum1.0.hap1	GCF_028538775.1	GCA_028538775.1	Myotis yumanensis					MYYU_CA2020_CCGP	male	GCF_028538775.1-RS_2024_12	Scaffold	2023-02-07	JAPQVT01	475
Pteropus_pselaphon_assembly02	GCA_056242155.1		Pteropus pselaphon					7782M		Annotation submitted by National Institute for Environmental Studies, Japan	Scaffold	2025-12-26	BAAJCM01	929
ASM5120146v1	GCA_051201465.1		Miniopterus fuliginosus					PC-2025	male		Contig	2025-07-03	JBLYEM01	647
mMacGig1.2_20250303	GCA_055471755.1		Macroderma gigas					MG_PC43	male		Scaffold	2026-02-24	JBQVVY01	312
mCarPer1.2	GCA_056371365.1		Carollia perspicillata				Costa Rica	EVL-2025			Scaffold	2026-03-27	JBOCUP01	28
mMolMol1.p	GCA_014108415.1	GCF_014108415.1	Molossus molossus					mMolMol1	male	Annotation submitted by Bat1K	Scaffold	2020-08-13	JACASF01	60
mMolMol1.p	GCF_014108415.1	GCA_014108415.1	Molossus molossus					mMolMol1	male	NCBI Molossus molossus Annotation Release 100	Scaffold	2020-08-07	JACASF01	60
mPipKuh1.p	GCA_014108245.1	GCF_014108245.1	Pipistrellus kuhlii					mPipKuh1	male	Annotation submitted by Bat1K	Scaffold	2020-08-13	JACAGB01	202
mPipKuh1.p	GCF_014108245.1	GCA_014108245.1	Pipistrellus kuhlii					mPipKuh1	male	NCBI Pipistrellus kuhlii Annotation Release 101	Scaffold	2020-08-07	JACAGB01	202
NocLep_v1_BIUU	GCA_004026585.1		Noctilio leporinus					US093			Scaffold	2019-01-16	PVIW01	298222
Mnat.v1	GCA_001595765.1	GCF_001595765.1	Miniopterus natalensis					MN2012-01	male		Scaffold	2016-03-22	LDJU01	1269
Mnat.v1	GCF_001595765.1	GCA_001595765.1	Miniopterus natalensis					MN2012-01	male	NCBI Miniopterus natalensis Annotation Release 100	Scaffold	2016-03-22	LDJU01	1269
MacCal_v1_BIUU	GCA_007922815.1		Macrotus californicus					US035			Scaffold	2019-08-08	VMDR01	1125430
ASM32734v1	GCA_000327345.1	GCF_000327345.1	Myotis davidii						male	Annotation submitted by BGI	Scaffold	2012-12-20	ALWT01	101769
ASM32734v1	GCF_000327345.1	GCA_000327345.1	Myotis davidii						male	NCBI Myotis davidii Annotation Release 101	Scaffold	2012-12-20	ALWT01	101769
MegLyr_v1_BIUU	GCA_004026885.1		Lyroderma lyra					US036			Scaffold	2019-01-16	PVJL01	1902801
KIZ_Tpa_1.1	GCA_058224425.1		Tylonycteris pachypus					XL-2024			Contig	2026-06-16	JBIQWM01	1140
ASM5946945v1	GCA_059469455.1		Rhinolophus lepidus					RL01Ki-7A1			Scaffold	2026-07-16	JBHHFN01	1688
ASM1482457v3	GCA_014824575.3	GCF_014824575.4	Sturnira hondurensis				Veracruz	20B			Scaffold	2022-12-28	VSFL02	25881
ASM1482457v3	GCF_014824575.4	GCA_014824575.3	Sturnira hondurensis				Veracruz	20B		GCF_014824575.4-RS_2026_04	Scaffold	2022-12-28	VSFL02	25881
MacSob_v1_BIUU	GCA_004027375.1		Macroglossus sobrinus					US102			Scaffold	2019-01-16	PVKZ01	171985
Ma_sr-lr_union100	GCA_902729225.1	GCF_902729225.1	Pteropus medius								Scaffold	2020-04-15	CACVBW01	16113
Ma_sr-lr_union100	GCF_902729225.1	GCA_902729225.1	Pteropus medius							GCF_902729225.1-RS_2025_12	Scaffold	2020-04-15	CACVBW01	16113
WHU_Tcir_v1	GCA_051314375.1		Trachops cirrhosus					M-277702	female		Scaffold	2025-07-14	JBCDWB01	9373
WHU_Vspe_v1	GCA_051314355.1		Vampyrum spectrum					M-267446	female		Scaffold	2025-07-14	JBCDWC01	21127
AnoCau_v1_BIUU	GCA_004027475.1		Anoura caudifer					US021			Scaffold	2019-01-16	PVKU01	337255
ASM1175106v5	GCA_011751065.5		Lasiurus cinereus					Cryan_1219	female		Scaffold	2025-02-27	JAAGEH04	2250
MicHir_v1_BIUU	GCA_004026765.1		Micronycteris hirsuta					US037			Scaffold	2019-01-16	PVJI01	550090
LasBor_v1_BIUU	GCA_004026805.1		Lasiurus borealis					US024			Scaffold	2019-01-16	PVJN01	518900
ASM41265v1	GCA_000412655.1	GCF_000412655.1	Myotis brandtii						male	Annotation submitted by BGI	Scaffold	2013-06-28	ANKR01	169750
ASM41265v1	GCF_000412655.1	GCA_000412655.1	Myotis brandtii						male	NCBI Myotis brandtii Annotation Release 101	Scaffold	2013-06-28	ANKR01	169750
CraTho_v1_BIUU	GCA_004027555.1		Craseonycteris thonglongyai					US097			Scaffold	2019-01-16	PVKE01	1224256
ASM979314v1	GCA_009793145.1		Cynopterus brachyotis					CB-01	male		Scaffold	2019-12-23	SSHV01	48006
ASM46528v1	GCA_000465285.1		Eidolon helvum								Scaffold	2013-09-13	AWHC01	133538
ASM3676855v1	GCA_036768555.1		Pteronotus parnellii mexicanus					TK-150567	male		Scaffold	2024-02-22	JAWWUB01	26271
Cymx_v3.1	GCA_976999295.1		Cynomops mexicanus								Scaffold	2025-11-08	CDRLTP01	146
MorMeg_v1_BIUU	GCA_004026545.1		Mormoops blainvillei					US096			Scaffold	2019-01-16	PVJD01	205259
TonSau_v1_BIUU	GCA_004024845.1		Tonatia bakeri					US038			Scaffold	2019-01-15	PVIA01	249810
ASM2146454v1	GCA_021464545.1		Hipposideros pendleburyi					ps2007241.1	male		Scaffold	2022-01-14	JAHQIX01	28685
ASM3577139v1	GCA_035771395.1		Myotis vivesi					0227			Scaffold	2024-01-17	JAWPEG01	64503
ASM3863079v1	GCA_038630795.1		Myotis findleyi					0171	male		Scaffold	2024-04-29	JAWQEE01	59017
MurFea_v1_BIUU	GCA_004026665.1		Murina feae					US074			Scaffold	2019-01-16	PVJC01	880177
NycHum_v1_BIUU	GCA_007922795.1		Nycticeius humeralis					US023			Scaffold	2019-08-08	VMDQ01	1676240
ASM3625017v1	GCA_036250175.1		Myotis planiceps		0119						Scaffold	2024-01-29	JAYKON01	324886
mMyoLuc1.0	GCA_048340685.1		Myotis lucifugus carissima					MYLU1	female		Chromosome	2025-03-05	JAVIYB01	258
HLdesRot8B.1	GCA_022682395.2		Desmodus rotundus					HL8	male		Chromosome	2022-03-24	JAKFGA01	429
ASM4005753v1	GCA_040057535.1		Rhinolophus affinis								Chromosome	2024-06-04	JAUKPG01	60
RSI-T2T	GCA_057876585.1		Rhinolophus sinicus					RSI-liver-muscle	female		Chromosome	2026-06-03	JBYRDP01	22
mPteMes1.pri	GCA_056363955.1		Pteronotus mesoamericanus					mPteMes1	male		Chromosome	2026-03-27	JBWEFK01	27
mIaxIox2.hap2	GCA_054824975.1		Ia io					mIaxIox2	male		Chromosome	2026-01-29	JBTBFC01	196
mPipPip1.1	GCA_903992545.1		Pipistrellus pipistrellus								Chromosome	2020-08-06	CAJEUD01	322
ASM3396157v1	GCA_033961575.1		Aselliscus stoliczkanus					M181119	male		Chromosome	2023-11-28	JAWWOG01	191
mMyoDau2.hap2.2	GCA_963242275.2		Myotis daubentonii								Chromosome	2025-04-09	CAUJLF02	208
mMinNat1.hap2	GCA_054644305.1		Miniopterus natalensis					mMinNat1	female		Chromosome	2026-01-22	JBSYVD01	99
mMinNat1.hap1	GCA_054644295.1		Miniopterus natalensis					mMinNat1	female		Chromosome	2026-01-22	JBSYVC01	135
mCorTow1.1.hap1	GCA_026230055.2		Corynorhinus townsendii					COTO_CA2020_CCGP	male	GCA_026230055.2-GB_2026_01_12	Chromosome	2025-12-17	JAPDVT02	380
ASM4372795v1	GCA_043727955.1		Hipposideros larvatus				China	20210929_DDb	male		Chromosome	2024-10-24	JARCLT01	249
mRouMad1.hap1	GCA_059802055.1		Rousettus madagascariensis					mRouMad1	male		Chromosome	2026-08-04	JCASOM01	77
mRhyNas2.hap1	GCA_037038545.1		Rhynchonycteris naso					mRhyNas2	male	GCA_037038545.1-GB_2025_12_01	Chromosome	2024-03-06	JBAKBI01	40
mMolNig1.hap2	GCA_039880925.1		Molossus nigricans					mMolNig1	male		Chromosome	2024-05-29	JBDPIJ01	282
mArtLit1.hap1	GCA_038363095.4		Artibeus lituratus					mArtLit1	male	GCA_038363095.4-GB_2026_04_09	Chromosome	2025-05-01	JBAWUQ03	486
mMolAlv2.hap1	GCA_037157525.1		Molossus alvarezi					mMolAlv2	female	GCA_037157525.1-GB_2025_08_26	Chromosome	2024-03-15	JBAWUI01	325
mTadTen1.hap2.1	GCA_976988855.1		Tadarida teniotis								Chromosome	2025-10-10	CDRKIN01	370
mLasEga1.hap1	GCA_058971415.1		Lasiurus ega					mLasEga1	male		Chromosome	2026-07-06	JBZXKN01	834
mRhiHip2.hap2.2	GCA_964194215.2		Rhinolophus hipposideros								Chromosome	2025-04-12	CAXMLM02	980
mCenSen1.hap2	GCA_058972435.1		Centurio senex					mCenSen1	female		Chromosome	2026-07-06	JBZXLA01	654
mPipNat1.hap1.2	GCA_964656225.2		Pipistrellus nathusii								Chromosome	2025-05-07	CAZZRB02	396
mPipNat.alt	GCA_963693525.1		Pipistrellus nathusii								Chromosome	2024-02-07	CAVNZY01	155
mMyoMys1.hap2.1	GCA_964195625.1		Myotis mystacinus								Chromosome	2024-06-30	CAXMUD01	327
Rousettus_madagascariensis_HiC	GCA_028533395.1		Rousettus madagascariensis					Sample2083			Chromosome	2023-02-09	JAPYYH01	1467186
Trachops_cirrhosus_HiC	GCA_028533065.1		Trachops cirrhosus					AMNH-AMCC-225240	male		Chromosome	2023-02-09	JAPYXV01	396519
mCarSow1.hap2	GCA_051307135.1		Carollia sowelli					mCarSow1	female		Chromosome	2025-07-14	JBOBQS01	272
mGloMut1.hap2	GCA_039656995.1		Glossophaga mutica					mGloMut1	male		Chromosome	2024-05-17	JBCAQM01	71
