qseqid	sseqid	sstart	send	sstrand	pident	qcovs	source_file	adjusted_start	adjusted_end
NC_027117.1_pol_8	gb|CM076381.2|	10102864	10105278	plus	95.072	99	GCA_038363095.4_derv_pol	10102364	10105778
NC_001514.1_pol_6	gb|CM076381.2|	10102891	10105222	plus	75.277	97	GCA_038363095.4_smrv_pol	10102391	10105722
NC_027117.1_pol_8	gb|CM076381.2|	112616035	112618452	plus	94.706	99	GCA_038363095.4_derv_pol	112615535	112618952
NC_027117.1_pol_8	gb|CM076381.2|	180599524	180597134	minus	92.754	99	GCA_038363095.4_derv_pol	180596634	180600024
NC_027117.1_pol_8	gb|CM076382.2|	42858	45248	plus	92.712	99	GCA_038363095.4_derv_pol	42358	45748
NC_027117.1_pol_8	gb|CM076382.2|	885947	888337	plus	93.043	99	GCA_038363095.4_derv_pol	885447	888837
NC_027117.1_pol_8	gb|CM076382.2|	138202029	138204383	plus	94.951	99	GCA_038363095.4_derv_pol	138201529	138204883
NC_001514.1_pol_6	gb|CM076382.2|	138202056	138204381	plus	75.372	97	GCA_038363095.4_smrv_pol	138201556	138204881
NC_027117.1_pol_8	gb|CM076383.2|	507235	509625	plus	92.836	99	GCA_038363095.4_derv_pol	506735	510125
NC_027117.1_pol_8	gb|CM076383.2|	576035	578425	plus	92.795	99	GCA_038363095.4_derv_pol	575535	578925
NC_027117.1_pol_8	gb|CM076383.2|	1135301	1137690	plus	93.043	99	GCA_038363095.4_derv_pol	1134801	1138190
NC_027117.1_pol_8	gb|CM076383.2|	65475990	65478346	plus	80.779	99	GCA_038363095.4_derv_pol	65475490	65478846
NC_027117.1_pol_8	gb|CM076384.2|	517141	519531	plus	92.961	99	GCA_038363095.4_derv_pol	516641	520031
NC_027117.1_pol_8	gb|CM076384.2|	87453338	87450982	minus	94.951	99	GCA_038363095.4_derv_pol	87450482	87453838
NC_027117.1_pol_8	gb|CM076387.2|	486490	488880	plus	93.251	99	GCA_038363095.4_derv_pol	485990	489380
NC_027117.1_pol_8	gb|CM076387.2|	72044920	72047334	plus	95.155	99	GCA_038363095.4_derv_pol	72044420	72047834
NC_027117.1_pol_8	gb|CM076388.2|	3625508	3623094	minus	95.072	99	GCA_038363095.4_derv_pol	3622594	3626008
NC_001514.1_pol_6	gb|CM076388.2|	3625481	3623150	minus	75.447	97	GCA_038363095.4_smrv_pol	3622650	3625981
NC_027117.1_pol_8	gb|CM076391.2|	296059	298477	plus	94.254	99	GCA_038363095.4_derv_pol	295559	298977
NC_027117.1_pol_8	gb|CM076391.2|	6379340	6376992	minus	80.178	99	GCA_038363095.4_derv_pol	6376492	6379840
NC_027117.1_pol_8	gb|CM076394.3|	31549909	31552265	plus	95.078	97	GCA_038363095.4_derv_pol	31549409	31552765
NC_027117.1_pol_8	gb|CM076418.1|	107037153	107034797	minus	80.593	97	GCA_038363225.1_derv_pol	107034297	107037653
NC_027117.1_pol_8	gb|CM076419.1|	60672204	60669790	minus	95.114	99	GCA_038363225.1_derv_pol	60669290	60672704
NC_001514.1_pol_6	gb|CM076419.1|	60672177	60669846	minus	75.563	97	GCA_038363225.1_smrv_pol	60669346	60672677
NC_027117.1_pol_8	gb|CM076419.1|	68068288	68065932	minus	81.017	99	GCA_038363225.1_derv_pol	68065432	68068788
NC_027117.1_pol_8	gb|CM076420.1|	5814999	5812585	minus	95.197	99	GCA_038363225.1_derv_pol	5812085	5815499
NC_027117.1_pol_8	gb|CM076420.1|	74989999	74992413	plus	95.114	99	GCA_038363225.1_derv_pol	74989499	74992913
NC_001514.1_pol_6	gb|CM076420.1|	74990026	74992357	plus	75.447	97	GCA_038363225.1_smrv_pol	74989526	74992857
NC_027117.1_pol_8	gb|CM076420.1|	112607957	112610372	plus	94.868	99	GCA_038363225.1_derv_pol	112607457	112610872
NC_027117.1_pol_8	gb|CM076420.1|	113291455	113293811	plus	81.017	99	GCA_038363225.1_derv_pol	113290955	113294311
NC_027117.1_pol_8	gb|CM076421.1|	134842139	134844553	plus	94.824	99	GCA_038363225.1_derv_pol	134841639	134845053
NC_001514.1_pol_6	gb|CM076421.1|	134842166	134844468	plus	75.624	96	GCA_038363225.1_smrv_pol	134841666	134844968
NC_027117.1_pol_8	gb|CM076421.1|	167529801	167527387	minus	94.948	99	GCA_038363225.1_derv_pol	167526887	167530301
NC_027117.1_pol_8	gb|CM076422.1|	66532888	66535244	plus	80.829	99	GCA_038363225.1_derv_pol	66532388	66535744
NC_027117.1_pol_8	gb|CM076422.1|	119262631	119260225	minus	94.176	99	GCA_038363225.1_derv_pol	119259725	119263131
NC_027117.1_pol_8	gb|CM076423.1|	54890434	54888078	minus	95.291	99	GCA_038363225.1_derv_pol	54887578	54890934
NC_027117.1_pol_8	gb|CM076423.1|	67844861	67847217	plus	95.121	99	GCA_038363225.1_derv_pol	67844361	67847717
NC_027117.1_pol_8	gb|CM076423.1|	70350489	70348133	minus	95.121	99	GCA_038363225.1_derv_pol	70347633	70350989
NC_027117.1_pol_8	gb|CM076423.1|	149689569	149687179	minus	93.085	99	GCA_038363225.1_derv_pol	149686679	149690069
NC_027117.1_pol_8	gb|CM076424.1|	2451527	2453941	plus	94.865	99	GCA_038363225.1_derv_pol	2451027	2454441
NC_027117.1_pol_8	gb|CM076425.1|	312354	314768	plus	94.493	99	GCA_038363225.1_derv_pol	311854	315268
NC_027117.1_pol_8	gb|CM076425.1|	5380905	5378549	minus	80.975	99	GCA_038363225.1_derv_pol	5378049	5381405
NC_027117.1_pol_8	gb|CM076425.1|	12444886	12447300	plus	95.321	99	GCA_038363225.1_derv_pol	12444386	12447800
NC_027117.1_pol_8	gb|CM076425.1|	74179258	74181672	plus	94.907	99	GCA_038363225.1_derv_pol	74178758	74182172
NC_001514.1_pol_6	gb|CM076425.1|	74179285	74181616	plus	75.308	97	GCA_038363225.1_smrv_pol	74178785	74182116
NC_027117.1_pol_8	gb|CM076426.1|	120817511	120815121	minus	93.126	99	GCA_038363225.1_derv_pol	120814621	120818011
NC_027117.1_pol_8	gb|CM076430.1|	2960037	2957681	minus	80.381	99	GCA_038363225.1_derv_pol	2957181	2960537
NC_027117.1_pol_8	gb|CM076430.1|	54485797	54488187	plus	93.251	99	GCA_038363225.1_derv_pol	54485297	54488687
NC_027117.1_pol_8	gb|CM077782.2|	23647	26037	plus	92.878	99	GCA_038363095.4_derv_pol	23147	26537
NC_027117.1_pol_8	gb|CM077782.2|	14797938	14800294	plus	94.612	99	GCA_038363095.4_derv_pol	14797438	14800794
NC_027117.1_pol_8	gb|CM115950.1|	158221610	158219209	minus	86.309	99	GCA_050655435.1_derv_pol	158218709	158222110
NC_027117.1_pol_8	gb|CM115951.1|	133513315	133510963	minus	78.84	97	GCA_050655435.1_derv_pol	133510463	133513815
NC_027117.1_pol_8	gb|CM115954.1|	1180810	1178409	minus	86.267	99	GCA_050655435.1_derv_pol	1177909	1181310
NC_027117.1_pol_8	gb|CM115954.1|	78333812	78332601	minus	83.512	99	GCA_050655435.1_derv_pol	78332101	78334312
NC_027117.1_pol_8	gb|CM115955.1|	3929824	3931107	plus	89.33	99	GCA_050655435.1_derv_pol	3929324	3931607
NC_027117.1_pol_8	gb|CM115955.1|	80942607	80940194	minus	86.915	99	GCA_050655435.1_derv_pol	80939694	80943107
NC_001514.1_pol_6	gb|CM115955.1|	80942580	80940249	minus	75.959	97	GCA_050655435.1_smrv_pol	80939749	80943080
NC_027117.1_pol_8	gb|CM115955.1|	97440494	97438093	minus	86.309	99	GCA_050655435.1_derv_pol	97437593	97440994
NC_027117.1_pol_8	gb|CM115955.1|	138931986	138929585	minus	86.267	99	GCA_050655435.1_derv_pol	138929085	138932486
NC_027117.1_pol_8	gb|CM115957.1|	64546945	64549346	plus	86.35	99	GCA_050655435.1_derv_pol	64546445	64549846
NC_027117.1_pol_8	gb|CM115959.1|	80430375	80432776	plus	86.309	99	GCA_050655435.1_derv_pol	80429875	80433276
NC_027117.1_pol_8	gb|CM115961.1|	32193368	32194582	plus	79.59	99	GCA_050655435.1_derv_pol	32192868	32195082
NC_027117.1_pol_8	gb|CM115961.1|	32196412	32197615	plus	79.356	99	GCA_050655435.1_derv_pol	32195912	32198115
NC_027117.1_pol_8	gb|CM115962.1|	37219004	37220803	plus	78.575	74	GCA_050655435.1_derv_pol	37218504	37221303
NC_027117.1_pol_8	gb|CM115962.1|	40010459	40012256	plus	78.304	74	GCA_050655435.1_derv_pol	40009959	40012756
NC_027117.1_pol_8	gb|CM115962.1|	44427767	44429564	plus	77.716	74	GCA_050655435.1_derv_pol	44427267	44430064
NC_027117.1_pol_8	gb|CM115962.1|	49615514	49617310	plus	78.249	74	GCA_050655435.1_derv_pol	49615014	49617810
NC_027117.1_pol_8	gb|CM115962.1|	50537204	50535416	minus	78.21	74	GCA_050655435.1_derv_pol	50534916	50537704
NC_027117.1_pol_8	gb|CM115962.1|	55700241	55702044	plus	78.82	74	GCA_050655435.1_derv_pol	55699741	55702544
NC_027117.1_pol_8	gb|CM115962.1|	59662733	59661427	minus	77.837	74	GCA_050655435.1_derv_pol	59660927	59663233
NC_027117.1_pol_8	gb|CM115967.1|	158561897	158559496	minus	86.309	99	GCA_050655445.1_derv_pol	158558996	158562397
NC_027117.1_pol_8	gb|CM115968.1|	133309012	133306660	minus	78.84	97	GCA_050655445.1_derv_pol	133306160	133309512
NC_027117.1_pol_8	gb|CM115970.1|	14783561	14785962	plus	86.309	99	GCA_050655445.1_derv_pol	14783061	14786462
NC_027117.1_pol_8	gb|CM115971.1|	78808714	78807503	minus	83.512	50	GCA_050655445.1_derv_pol	78807003	78809214
NC_027117.1_pol_8	gb|CM115972.1|	3936336	3937619	plus	89.33	99	GCA_050655445.1_derv_pol	3935836	3938119
NC_027117.1_pol_8	gb|CM115972.1|	46289947	46292348	plus	86.184	99	GCA_050655445.1_derv_pol	46289447	46292848
NC_027117.1_pol_8	gb|CM115972.1|	81108826	81106413	minus	86.915	99	GCA_050655445.1_derv_pol	81105913	81109326
NC_001514.1_pol_6	gb|CM115972.1|	81108799	81106468	minus	75.959	97	GCA_050655445.1_smrv_pol	81105968	81109299
NC_027117.1_pol_8	gb|CM115972.1|	138297416	138295015	minus	86.267	99	GCA_050655445.1_derv_pol	138294515	138297916
NC_027117.1_pol_8	gb|CM115974.1|	63976444	63978845	plus	86.35	99	GCA_050655445.1_derv_pol	63975944	63979345
NC_027117.1_pol_8	gb|CM115974.1|	103056906	103059307	plus	86.309	99	GCA_050655445.1_derv_pol	103056406	103059807
NC_027117.1_pol_8	gb|CM115977.1|	58572095	58574496	plus	86.309	99	GCA_050655445.1_derv_pol	58571595	58574996
NC_027117.1_pol_8	gb|CM115978.1|	32222658	32223872	plus	79.508	99	GCA_050655445.1_derv_pol	32222158	32224372
NC_027117.1_pol_8	gb|CM115978.1|	32225702	32226904	plus	79.356	99	GCA_050655445.1_derv_pol	32225202	32227404
NC_027117.1_pol_8	gb|CM115979.1|	35229531	35231330	plus	77.606	74	GCA_050655445.1_derv_pol	35229031	35231830
NC_027117.1_pol_8	gb|CM115979.1|	36463038	36461322	minus	78.874	74	GCA_050655445.1_derv_pol	36460822	36463538
NC_027117.1_pol_8	gb|CM115979.1|	38141620	38143417	plus	78.359	74	GCA_050655445.1_derv_pol	38141120	38143917
NC_027117.1_pol_8	gb|CM117820.1|	74109231	74106858	minus	82.044	98	GCA_051107505.1_derv_pol	74106358	74109731
NC_027117.1_pol_8	gb|CM117820.1|	107939007	107937127	minus	81.333	98	GCA_051107505.1_derv_pol	107936627	107939507
NC_027117.1_pol_8	gb|CM117820.1|	191251913	191249541	minus	81.849	98	GCA_051107505.1_derv_pol	191249041	191252413
NC_027117.1_pol_8	gb|CM117821.1|	83684765	83682392	minus	82.101	98	GCA_051107505.1_derv_pol	83681892	83685265
NC_027117.1_pol_8	gb|CM117822.1|	85044226	85041853	minus	82.212	98	GCA_051107505.1_derv_pol	85041353	85044726
NC_027117.1_pol_8	gb|CM117822.1|	103476596	103478352	plus	82.386	98	GCA_051107505.1_derv_pol	103476096	103478852
NC_027117.1_pol_8	gb|CM117822.1|	123424782	123423075	minus	82.428	98	GCA_051107505.1_derv_pol	123422575	123425282
NC_027117.1_pol_8	gb|CM117823.1|	77835470	77833083	minus	81.488	98	GCA_051107505.1_derv_pol	77832583	77835970
NC_027117.1_pol_8	gb|CM117823.1|	82777515	82779870	plus	81.626	98	GCA_051107505.1_derv_pol	82777015	82780370
NC_027117.1_pol_8	gb|CM117824.1|	58543097	58545470	plus	81.841	98	GCA_051107505.1_derv_pol	58542597	58545970
NC_027117.1_pol_8	gb|CM117824.1|	66794440	66796146	plus	83.197	98	GCA_051107505.1_derv_pol	66793940	66796646
NC_027117.1_pol_8	gb|CM117824.1|	92936855	92939228	plus	82.128	98	GCA_051107505.1_derv_pol	92936355	92939728
NC_027117.1_pol_8	gb|CM117824.1|	124689650	124687279	minus	81.96	98	GCA_051107505.1_derv_pol	124686779	124690150
NC_027117.1_pol_8	gb|CM117824.1|	135833849	135836216	plus	81.94	98	GCA_051107505.1_derv_pol	135833349	135836716
NC_027117.1_pol_8	gb|CM117824.1|	149959695	149962064	plus	80.176	98	GCA_051107505.1_derv_pol	149959195	149962564
NC_027117.1_pol_8	gb|CM117824.1|	156056835	156059206	plus	81.967	98	GCA_051107505.1_derv_pol	156056335	156059706
NC_027117.1_pol_8	gb|CM117824.1|	158821014	158818642	minus	81.379	98	GCA_051107505.1_derv_pol	158818142	158821514
NC_027117.1_pol_8	gb|CM117824.1|	160298625	160300995	plus	82.086	98	GCA_051107505.1_derv_pol	160298125	160301495
NC_027117.1_pol_8	gb|CM117824.1|	160646846	160645139	minus	82.954	98	GCA_051107505.1_derv_pol	160644639	160647346
NC_027117.1_pol_8	gb|CM117825.1|	37106664	37109036	plus	82.261	98	GCA_051107505.1_derv_pol	37106164	37109536
NC_027117.1_pol_8	gb|CM117825.1|	109343976	109346349	plus	82.086	98	GCA_051107505.1_derv_pol	109343476	109346849
NC_027117.1_pol_8	gb|CM117825.1|	127949605	127951978	plus	82.128	98	GCA_051107505.1_derv_pol	127949105	127952478
NC_027117.1_pol_8	gb|CM117826.1|	57259824	57257451	minus	82.296	98	GCA_051107505.1_derv_pol	57256951	57260324
NC_027117.1_pol_8	gb|CM117826.1|	77638363	77640736	plus	82.128	98	GCA_051107505.1_derv_pol	77637863	77641236
NC_027117.1_pol_8	gb|CM117826.1|	100777349	100778722	plus	80.973	98	GCA_051107505.1_derv_pol	100776849	100779222
NC_027117.1_pol_8	gb|CM117826.1|	101871942	101874316	plus	81.864	98	GCA_051107505.1_derv_pol	101871442	101874816
NC_027117.1_pol_8	gb|CM117826.1|	105157861	105155488	minus	81.791	98	GCA_051107505.1_derv_pol	105154988	105158361
NC_027117.1_pol_8	gb|CM117827.1|	47085761	47084418	minus	83.222	98	GCA_051107505.1_derv_pol	47083918	47086261
NC_027117.1_pol_8	gb|CM117827.1|	71136519	71138891	plus	82.212	98	GCA_051107505.1_derv_pol	71136019	71139391
NC_027117.1_pol_8	gb|CM117827.1|	96924099	96926472	plus	82.002	98	GCA_051107505.1_derv_pol	96923599	96926972
NC_027117.1_pol_8	gb|CM117827.1|	143479564	143481269	plus	82.817	98	GCA_051107505.1_derv_pol	143479064	143481769
NC_027117.1_pol_8	gb|CM117828.1|	60088666	60086293	minus	81.654	98	GCA_051107505.1_derv_pol	60085793	60089166
NC_027117.1_pol_8	gb|CM117828.1|	66440465	66438091	minus	81.757	98	GCA_051107505.1_derv_pol	66437591	66440965
NC_027117.1_pol_8	gb|CM117829.1|	78781565	78779189	minus	81.94	98	GCA_051107505.1_derv_pol	78778689	78782065
NC_027117.1_pol_8	gb|CM117830.1|	53764400	53762047	minus	81.372	98	GCA_051107505.1_derv_pol	53761547	53764900
NC_027117.1_pol_8	gb|CM117830.1|	62792856	62790488	minus	81.589	98	GCA_051107505.1_derv_pol	62789988	62793356
NC_027117.1_pol_8	gb|CM117831.1|	29484622	29482250	minus	82.036	98	GCA_051107505.1_derv_pol	29481750	29485122
NC_027117.1_pol_8	gb|CM117831.1|	30821740	30824113	plus	82.093	98	GCA_051107505.1_derv_pol	30821240	30824613
NC_027117.1_pol_8	gb|CM117831.1|	44319715	44317342	minus	82.254	98	GCA_051107505.1_derv_pol	44316842	44320215
NC_027117.1_pol_8	gb|CM117831.1|	70701697	70699324	minus	81.707	98	GCA_051107505.1_derv_pol	70698824	70702197
NC_027117.1_pol_8	gb|CM117832.1|	45372206	45374581	plus	80.781	98	GCA_051107505.1_derv_pol	45371706	45375081
NC_027117.1_pol_8	gb|CM117833.1|	27655653	27658021	plus	81.436	98	GCA_051107505.1_derv_pol	27655153	27658521
NC_027117.1_pol_8	gb|CM117834.1|	66434136	66436507	plus	81.891	98	GCA_051107505.1_derv_pol	66433636	66437007
NC_027117.1_pol_8	gb|CM117834.1|	69142959	69141269	minus	83.117	98	GCA_051107505.1_derv_pol	69140769	69143459
NC_027117.1_pol_8	gb|CM117834.1|	75224663	75222294	minus	81.841	98	GCA_051107505.1_derv_pol	75221794	75225163
NC_027117.1_pol_8	gb|CM117834.1|	111140425	111142798	plus	82.128	98	GCA_051107505.1_derv_pol	111139925	111143298
NC_027117.1_pol_8	gb|CM117834.1|	142982777	142980402	minus	81.704	98	GCA_051107505.1_derv_pol	142979902	142983277
NC_027117.1_pol_8	gb|CM117835.1|	2266087	2268462	plus	81.662	98	GCA_051107505.1_derv_pol	2265587	2268962
NC_027117.1_pol_8	gb|CM117837.1|	108401367	108399487	minus	81.237	98	GCA_051107545.1_derv_pol	108398987	108401867
NC_027117.1_pol_8	gb|CM117837.1|	190616010	190613638	minus	81.715	98	GCA_051107545.1_derv_pol	190613138	190616510
NC_027117.1_pol_8	gb|CM117838.1|	38251320	38248947	minus	82.296	98	GCA_051107545.1_derv_pol	38248447	38251820
NC_027117.1_pol_8	gb|CM117838.1|	84172464	84170091	minus	82.101	98	GCA_051107545.1_derv_pol	84169591	84172964
NC_027117.1_pol_8	gb|CM117838.1|	106345509	106343135	minus	82.143	98	GCA_051107545.1_derv_pol	106342635	106346009
NC_027117.1_pol_8	gb|CM117839.1|	57061484	57063179	plus	82.471	98	GCA_051107545.1_derv_pol	57060984	57063679
NC_027117.1_pol_8	gb|CM117839.1|	74385598	74383225	minus	81.864	98	GCA_051107545.1_derv_pol	74382725	74386098
NC_027117.1_pol_8	gb|CM117839.1|	102860579	102862335	plus	82.386	98	GCA_051107545.1_derv_pol	102860079	102862835
NC_027117.1_pol_8	gb|CM117839.1|	123187063	123185356	minus	82.428	98	GCA_051107545.1_derv_pol	123184856	123187563
NC_027117.1_pol_8	gb|CM117840.1|	78247667	78245294	minus	81.925	98	GCA_051107545.1_derv_pol	78244794	78248167
NC_027117.1_pol_8	gb|CM117840.1|	83195242	83197597	plus	81.626	98	GCA_051107545.1_derv_pol	83194742	83198097
NC_027117.1_pol_8	gb|CM117840.1|	119580508	119578135	minus	82.17	98	GCA_051107545.1_derv_pol	119577635	119581008
